idCommit,name,date,message,nfiles,changes
1,Brian Nydegger,2017-05-27T19:48:09Z,utilisation des détails. Permet de les afficher. Surligne les accords recherchés,interface/index.html,62
2,Brian Nydegger,2017-05-27T18:26:49Z,gestion des slash dans la recherche,interface/index.html,2
2,Brian Nydegger,2017-05-27T18:26:49Z,gestion des slash dans la recherche,interface/youtube/restApi.py,1
3,Brian Nydegger,2017-05-27T18:15:03Z,ajout de la lecture de la séquence d accords,interface/index.html,87
4,Brian Nydegger,2017-05-27T18:15:03Z,execution de la recherche et des resultats,interface/index.html,49
5,Brian Nydegger,2017-05-27T18:15:03Z,ajout de la route qui execute le .jar,interface/youtube/restApi.py,3
6,gerome12,2017-05-22T06:41:21Z,commentaires,interface/youtube/restApi.py,8
7,gerome12,2017-05-20T11:45:16Z,script de MàJ des données du site BaC,parsing/Lettre parsee/A.txt,1
7,gerome12,2017-05-20T11:45:16Z,script de MàJ des données du site BaC,parsing/Lettre parsee/B.txt,7
7,gerome12,2017-05-20T11:45:16Z,script de MàJ des données du site BaC,parsing/Lettre parsee/C.txt,5
7,gerome12,2017-05-20T11:45:16Z,script de MàJ des données du site BaC,parsing/Lettre parsee/D.txt,1
7,gerome12,2017-05-20T11:45:16Z,script de MàJ des données du site BaC,parsing/Lettre parsee/F.txt,1
7,gerome12,2017-05-20T11:45:16Z,script de MàJ des données du site BaC,parsing/Lettre parsee/G.txt,2
7,gerome12,2017-05-20T11:45:16Z,script de MàJ des données du site BaC,parsing/Lettre parsee/J.txt,3
7,gerome12,2017-05-20T11:45:16Z,script de MàJ des données du site BaC,parsing/Lettre parsee/L.txt,4
7,gerome12,2017-05-20T11:45:16Z,script de MàJ des données du site BaC,parsing/Lettre parsee/M.txt,3
7,gerome12,2017-05-20T11:45:16Z,script de MàJ des données du site BaC,parsing/Lettre parsee/N.txt,1
7,gerome12,2017-05-20T11:45:16Z,script de MàJ des données du site BaC,parsing/Lettre parsee/P.txt,3
7,gerome12,2017-05-20T11:45:16Z,script de MàJ des données du site BaC,parsing/Lettre parsee/S.txt,2
7,gerome12,2017-05-20T11:45:16Z,script de MàJ des données du site BaC,parsing/Lettre parsee/T.txt,1
7,gerome12,2017-05-20T11:45:16Z,script de MàJ des données du site BaC,parsing/Lettre parsee/newSong.txt,34
7,gerome12,2017-05-20T11:45:16Z,script de MàJ des données du site BaC,parsing/updateData.py,95
9,gerome12,2017-05-19T13:26:14Z,getInfo ajout code d'erreur,interface/youtube/restApi.py,34
10,gerome12,2017-05-19T13:12:07Z,api rest route getInforoute retourne url youtuber et les paroles + les accords,interface/youtube/restApi.py,29
11,ludo,2017-05-19T13:06:20Z,Remove intellij .idea folder,Indexer/.idea/artifacts/Indexer_jar.xml,13
11,ludo,2017-05-19T13:06:20Z,Remove intellij .idea folder,Indexer/.idea/compiler.xml,23
11,ludo,2017-05-19T13:06:20Z,Remove intellij .idea folder,Indexer/.idea/description.html,1
11,ludo,2017-05-19T13:06:20Z,Remove intellij .idea folder,Indexer/.idea/encodings.xml,5
11,ludo,2017-05-19T13:06:20Z,Remove intellij .idea folder,Indexer/.idea/kotlinc.xml,7
